Country,Fertility   
WORLD,2.3
AFRICA,4.3
NORTHERN AFRICA,2.9
Algeria,2.8
Egypt,2.7
Libya,2.2
Morocco,2.3
Sudan,4.3
Tunisia,2.1
Western Sahara,2.3
WESTERN AFRICA,5.1
Benin,5.7
Burkina Faso,5
Cape Verde,2.2
Cote d'Ivoire,4.5
Gambia,4.4
Ghana,3.9
Guinea,4.5
Guinea-Bissau,4.3
Liberia,4.2
Mali,6.3
Mauritania,4.4
Niger,7
Nigeria,5.2
Senegal,4.7
Sierra Leone,4.2
Togo,4.3
EASTERN AFRICA,4.3
Burundi,5.2
Comoros,4.1
Djibouti,2.6
Eritrea,3.9
Ethiopia,4.1
Kenya,3.4
Madagascar,4.6
Malawi,3.6
Mauritius,1.5
Mayotte,4.5
Mozambique,5
Reunion,2.4
Rwanda,4.1
Seychelles,2.3
Somalia,6.9
South Sudan,4.5
Tanzania,4.5
Uganda,5
Zambia,4.7
Zimbabwe,3.9
MIDDLE AFRICA,5.8
Angola,6
Cameroon,4.8
Central African Republic,6
Chad,6.4
Congo,4.3
Congo Dem. Rep.,6.2
Equatorial Guinea,4.3
Gabon,3.8
Sao Tome and Principe,3.8
SOUTHERN AFRICA,2.4
Botswana,2.5
eSwatini,2.5
Lesotho,2.7
Namibia,3.3
South Africa,2.3
NORTHERN AMERICA,1.6
Canada,1.5
United States,1.6
LATIN AMERICA AND THE CARIBBEAN,2
CENTRAL AMERICA,2.1
Belize,2.2
Costa Rica,1.4
El Salvador,2.1
Guatemala,2.6
Honduras,2.5
Mexico,2.1
Nicaragua,2.4
Panama,2.4
CARIBBEAN,2.1
Antigua and Barbuda,2
Bahamas,2
Barbados,1.6
Cuba,1.6
Curacao,1.6
Dominica,1.8
Dominican Republic,2.2
Grenada,2
Guadeloupe,2.3
Haiti,2.8
Jamaica,1.8
Martinique,1.9
Puerto Rico,1
St. Kitts-Nevis,1.8
Saint Lucia,1.3
St. Vincent and the Grenadines,1.7
Trinidad and Tobago,1.4
SOUTH AMERICA,1.9
Argentina,2.2
Bolivia,2.5
Brazil,1.7
Chile,1.6
Colombia,1.9
Ecuador,2.4
French Guiana,3.6
Guyana,2.4
Paraguay,2.4
Peru,2.2
Suriname,2.2
Uruguay,1.6
Venezuela,2.3
ASIA,1.9
WESTERN ASIA,2.5
Armenia,1.6
Azerbaijan,1.8
Bahrain,1.6
Cyprus,1.3
Georgia,1.9
Iraq,3.6
Israel,2.9
Jordan,2.7
Kuwait,2.1
Lebanon,2
Oman,2.6
Palestinian Territory,3.8
Qatar,1.8
Saudi Arabia,2
Syria,2.7
Turkey,1.9
United Arab Emirates,1.4
Yemen,3.6
CENTRAL ASIA,2.9
Kazakhstan,2.7
Kyrgyzstan,2.9
Tajikistan,3.5
Turkmenistan,3
Uzbekistan,2.8
SOUTH ASIA,2.3
Afghanistan,4.3
Bangladesh,2.3
Bhutan,1.9
India,2.2
Iran,1.9
Maldives,2
Nepal,2
Pakistan,3.7
Sri Lanka,1.8
SOUTHEAST ASIA,2.1
Brunei,1.8
Cambodia,2.4
Indonesia,2.1
Laos,2.7
Malaysia,1.8
Myanmar,2.3
Philippines,2.5
Singapore,1.1
Thailand,1.4
Timor-Leste,3.6
Vietnam,2.1
EAST ASIA,1.3
China,1.3
China Hong Kong SAR,0.9
China Macao SAR,0.9
Japan,1.3
Korea North,1.9
Korea South,0.8
Mongolia,2.9
Taiwan,1
EUROPE,1.5
NORTHERN EUROPE,1.6
Denmark,1.7
Estonia,1.6
Finland,1.4
Iceland,1.7
Ireland,1.6
Latvia,1.5
Lithuania,1.4
Norway,1.5
Sweden,1.7
United Kingdom,1.6
WESTERN EUROPE,1.6
Austria,1.4
Belgium,1.6
France,1.8
Germany,1.5
Liechtenstein,1.5
Luxembourg,1.4
Monaco,1.5
Netherlands,1.6
Switzerland,1.5
EASTERN EUROPE,1.4
Belarus,1.4
Bulgaria,1.6
Czechia,1.7
Hungary,1.6
Moldova,1.2
Poland,1.3
Romania,1.3
Russia,1.5
Slovakia,1.6
Ukraine,1.1
SOUTHERN EUROPE,1.3
Albania,1.3
Andorra,1
Bosnia-Herzegovina,1.2
Croatia,1.5
Greece,1.3
Italy,1.2
Kosovo,1.6
Malta,1.1
Montenegro,1.8
North Macedonia,1.3
Portugal,1.4
San Marino,1.1
Serbia,1.5
Slovenia,1.6
Spain,1.2
OCEANIA,4
Australia,1.6
Federated States of Micronesia,3
Fiji,2.9
French Polynesia,1.8
Guam,2.7
Kiribati,3.3
Marshall Islands,2.7
Nauru,3.9
New Caledonia,1.9
New Zealand,1.6
Palau,2.2
Papua New Guinea,4
Samoa,4.1
Solomon Islands,4.1
Tonga,3.2
Tuvalu,3.3
Vanuatu,4
