name,slug,value,date_of_information,ranking,region
"Niger","niger","6.82","2022 est.","1","Africa"
"Angola","angola","5.83","2022 est.","2","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","5.63","2022 est.","3","Africa"
"Mali","mali","5.54","2022 est.","4","Africa"
"Chad","chad","5.46","2022 est.","5","Africa"
"Benin","benin","5.43","2022 est.","6","Africa"
"Uganda","uganda","5.36","2022 est.","7","Africa"
"South Sudan","south-sudan","5.32","2022 est.","8","Africa"
"Somalia","somalia","5.31","2022 est.","9","Africa"
"Burundi","burundi","5.03","2022 est.","10","Africa"
"Guinea","guinea","4.85","2022 est.","11","Africa"
"Mozambique","mozambique","4.81","2022 est.","12","Africa"
"Liberia","liberia","4.79","2022 est.","13","Africa"
"Guinea-Bissau","guinea-bissau","4.69","2022 est.","14","Africa"
"Afghanistan","afghanistan","4.62","2022 est.","15","South Asia"
"Nigeria","nigeria","4.62","2022 est.","16","Africa"
"Sudan","sudan","4.60","2022 est.","17","Africa"
"Zambia","zambia","4.56","2022 est.","18","Africa"
"Cameroon","cameroon","4.55","2022 est.","19","Africa"
"Tanzania","tanzania","4.39","2022 est.","20","Africa"
"Congo, Republic of the","congo-republic-of-the","4.36","2022 est.","21","Africa"
"Burkina Faso","burkina-faso","4.27","2022 est.","22","Africa"
"Senegal","senegal","4.27","2022 est.","23","Africa"
"Equatorial Guinea","equatorial-guinea","4.26","2022 est.","24","Africa"
"Togo","togo","4.23","2022 est.","25","Africa"
"Timor-Leste","timor-leste","4.21","2022 est.","26","East and Southeast Asia"
"Central African Republic","central-african-republic","4.04","2022 est.","27","Africa"
"Ethiopia","ethiopia","3.99","2022 est.","28","Africa"
"Papua New Guinea","papua-new-guinea","3.92","2022 est.","29","East and Southeast Asia"
"Zimbabwe","zimbabwe","3.89","2022 est.","30","Africa"
"Sierra Leone","sierra-leone","3.80","2022 est.","31","Africa"
"Gambia, The","gambia-the","3.79","2022 est.","32","Africa"
"Ghana","ghana","3.66","2022 est.","33","Africa"
"Madagascar","madagascar","3.62","2022 est.","34","Africa"
"Eritrea","eritrea","3.58","2022 est.","35","Africa"
